                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1842,                 4.3546,                 2.2093,                0.21008,                0.30704,                0.17374,                0.06827,                 1.6421,                 19.585,                 1.6918,              9.282e-05,              9.282e-05,              9.282e-05
                      2,                0.78257,                 1.9346,                 1.1582,                0.83644,                 0.7689,                0.84642,                0.72475,                0.59824,                 2.3417,                 1.0769,             0.00018896,             0.00018896,             0.00018896
                      3,                0.61506,                  1.308,                 1.0526,                0.90984,                0.84974,                0.87992,                0.78803,                0.56349,                 1.5265,                 1.0198,             0.00028115,             0.00028115,             0.00028115
                      4,                0.52191,                 1.0014,                 0.9856,                 0.7554,                0.84647,                0.89395,                0.77706,                0.57526,                 1.2443,                 1.0396,             0.00036937,             0.00036937,             0.00036937
                      5,                 0.5288,                0.89581,                0.98757,                 0.9526,                0.87534,                0.91929,                0.80516,                0.56843,                0.98119,                0.98796,             0.00045364,             0.00045364,             0.00045364
                      6,                0.57942,                0.86064,                0.97703,                0.78232,                0.88759,                0.90548,                0.73919,                0.64883,                0.97568,                 1.0728,             0.00053395,             0.00053395,             0.00053395
                      7,                0.54701,                0.80059,                0.98482,                0.92683,                0.92995,                0.96749,                0.84456,                 0.5155,                 0.6941,                 0.9689,              0.0006103,              0.0006103,              0.0006103
                      8,                0.56302,                0.80811,                0.99094,                0.89496,                0.93543,                0.95646,                0.80148,                0.56072,                 1.0143,                 1.0453,             0.00061504,             0.00061504,             0.00061504
                      9,                0.55555,                0.81086,                0.98728,                0.92818,                0.98279,                0.98335,                0.85283,                0.52101,                0.64542,                0.99358,             0.00061504,             0.00061504,             0.00061504
                     10,                0.51586,                0.70326,                0.97908,                0.85284,                0.94913,                 0.9684,                0.84538,                0.50046,                0.65102,                0.97843,              0.0006009,              0.0006009,              0.0006009
                     11,                0.52806,                0.65271,                0.96596,                0.93733,                 0.9432,                0.97932,                0.85154,                0.51853,                0.57648,                 0.9745,             0.00058677,             0.00058677,             0.00058677
                     12,                0.55832,                 0.6752,                0.97909,                0.89596,                  0.922,                0.94544,                0.77921,                0.60432,                 0.7341,                 1.0281,             0.00057263,             0.00057263,             0.00057263
                     13,                0.57203,                0.71253,                0.97443,                0.93595,                0.97169,                0.98152,                0.86642,                0.47136,                0.52159,                0.97104,             0.00055849,             0.00055849,             0.00055849
                     14,                0.51839,                0.61184,                0.97351,                0.92842,                0.97632,                0.98082,                0.88605,                0.45666,                0.54704,                0.95265,             0.00054435,             0.00054435,             0.00054435
                     15,                0.47563,                0.56618,                0.94613,                0.92866,                0.97976,                0.97748,                0.89044,                0.43607,                 0.4913,                0.91626,             0.00053022,             0.00053022,             0.00053022
                     16,                0.47662,                0.54265,                0.93549,                0.93492,                 0.9746,                0.98315,                0.88944,                0.42555,                0.43824,                0.91603,             0.00051608,             0.00051608,             0.00051608
                     17,                0.46247,                0.50924,                0.94794,                0.94884,                0.98601,                 0.9849,                0.88993,                0.42673,                0.40633,                0.91414,             0.00050194,             0.00050194,             0.00050194
                     18,                0.45723,                0.51524,                0.92728,                0.94868,                0.99387,                0.99214,                0.91409,                0.39922,                0.36447,                0.90806,              0.0004878,              0.0004878,              0.0004878
                     19,                 0.4288,                 0.4543,                0.91063,                0.95143,                0.99634,                 0.9914,                0.91685,                0.38934,                0.37862,                0.90573,             0.00047367,             0.00047367,             0.00047367
                     20,                0.45715,                 0.5033,                0.93893,                0.93955,                0.97761,                0.97667,                0.88952,                0.40731,                0.40946,                0.90449,             0.00045953,             0.00045953,             0.00045953
                     21,                0.44866,                0.48636,                0.91639,                0.94954,                0.95873,                0.97277,                0.88662,                0.40808,                0.40271,                0.91131,             0.00044539,             0.00044539,             0.00044539
                     22,                0.43964,                0.48187,                0.93049,                 0.9522,                0.98611,                0.98267,                0.91681,                0.37517,                0.37851,                0.89974,             0.00043126,             0.00043126,             0.00043126
                     23,                0.44223,                0.48362,                0.94118,                0.94977,                0.98615,                0.98414,                0.91487,                0.37951,                0.37172,                0.90094,             0.00041712,             0.00041712,             0.00041712
                     24,                0.41815,                0.43919,                0.91036,                0.95494,                 0.9731,                0.98553,                0.90992,                0.39627,                 0.3712,                0.92153,             0.00040298,             0.00040298,             0.00040298
                     25,                0.43797,                0.43418,                0.92486,                 0.9595,                0.98914,                0.98907,                0.91429,                0.39095,                0.34408,                0.91067,             0.00038884,             0.00038884,             0.00038884
                     26,                0.42844,                0.43542,                0.92737,                0.95668,                 0.9908,                0.98701,                0.91328,                0.38569,                0.33152,                 0.8953,             0.00037471,             0.00037471,             0.00037471
                     27,                0.41542,                0.41987,                0.90673,                0.95707,                0.99002,                  0.987,                0.91665,                0.38794,                0.32897,                 0.8966,             0.00036057,             0.00036057,             0.00036057
                     28,                0.43331,                0.43033,                0.92842,                0.95594,                0.98756,                0.98937,                0.92107,                0.38519,                  0.341,                0.89133,             0.00034643,             0.00034643,             0.00034643
                     29,                0.40952,                0.40159,                0.91034,                0.96139,                0.97361,                0.98816,                0.92436,                0.36906,                0.33058,                0.89659,              0.0003323,              0.0003323,              0.0003323
                     30,                0.40611,                0.40173,                0.91175,                0.94822,                0.98966,                 0.9838,                0.92141,                 0.3715,                0.33785,                0.90031,             0.00031816,             0.00031816,             0.00031816
                     31,                0.40948,                0.40914,                0.91439,                0.94644,                 0.9931,                0.98115,                 0.9217,                0.36806,                0.33583,                 0.8964,             0.00030402,             0.00030402,             0.00030402
                     32,                0.40625,                0.39147,                0.92495,                0.95134,                0.98899,                0.98098,                0.92127,                0.36938,                0.33288,                0.89667,             0.00028988,             0.00028988,             0.00028988
                     33,                   0.41,                0.39452,                 0.9062,                0.96439,                0.98534,                0.98652,                0.92161,                0.36543,                0.31943,                0.88821,             0.00027575,             0.00027575,             0.00027575
                     34,                0.38171,                0.36317,                0.88475,                0.96697,                 0.9931,                0.98888,                0.93151,                0.35112,                0.28677,                0.88041,             0.00026161,             0.00026161,             0.00026161
                     35,                0.39945,                0.38446,                0.91184,                0.96745,                0.99032,                0.98669,                0.93203,                0.34623,                0.28645,                0.87715,             0.00024747,             0.00024747,             0.00024747
                     36,                0.37658,                0.35008,                0.88938,                0.96026,                0.99236,                0.98508,                0.93017,                0.34978,                0.29167,                0.88098,             0.00023334,             0.00023334,             0.00023334
                     37,                0.39388,                0.36346,                0.90812,                0.95657,                0.99071,                0.98551,                0.92586,                 0.3619,                0.29925,                0.88571,              0.0002192,              0.0002192,              0.0002192
                     38,                0.39659,                0.37602,                0.89435,                0.95815,                0.99175,                0.98548,                 0.9196,                0.36324,                0.28853,                 0.8878,             0.00020506,             0.00020506,             0.00020506
                     39,                0.37908,                0.34932,                0.88852,                0.95927,                0.98742,                0.98496,                0.92057,                0.35912,                0.28445,                0.88587,             0.00019092,             0.00019092,             0.00019092
                     40,                0.38123,                0.34305,                0.89733,                0.95415,                 0.9805,                0.98501,                0.92602,                 0.3511,                0.28487,                0.87689,             0.00017679,             0.00017679,             0.00017679
                     41,                0.36812,                0.36346,                0.88709,                0.95969,                0.97571,                0.98704,                0.93017,                0.34801,                 0.2799,                0.87085,             0.00016265,             0.00016265,             0.00016265
                     42,                 0.3516,                0.32674,                0.90969,                0.96289,                0.98533,                0.98721,                0.93017,                0.35428,                0.27775,                0.87535,             0.00014851,             0.00014851,             0.00014851
                     43,                0.33784,                0.29348,                0.88788,                0.94995,                0.99714,                 0.9869,                 0.9283,                 0.3559,                0.28473,                0.87799,             0.00013437,             0.00013437,             0.00013437
                     44,                0.34691,                0.29508,                0.88172,                0.94798,                0.99616,                0.98797,                0.92719,                0.35527,                0.28525,                0.88062,             0.00012024,             0.00012024,             0.00012024
                     45,                0.34232,                0.29433,                 0.8811,                0.95433,                 0.9931,                0.99043,                0.93371,                0.34727,                0.27599,                 0.8792,              0.0001061,              0.0001061,              0.0001061
                     46,                0.34427,                 0.2929,                0.87602,                0.96509,                0.99047,                0.99023,                0.93545,                0.34052,                0.27234,                 0.8724,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.33667,                0.29418,                0.87937,                0.96824,                0.98966,                0.99042,                0.93731,                0.33892,                0.26351,                0.87018,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.32799,                0.28469,                0.86804,                0.97595,                0.98427,                0.99121,                0.93792,                0.33693,                0.25885,                0.86741,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 0.3374,                0.29301,                0.88227,                 0.9705,                0.98434,                0.99108,                0.93818,                0.33125,                0.25374,                0.86351,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.32325,                0.27331,                0.87664,                0.96454,                0.99109,                0.99123,                0.93935,                0.32838,                0.25244,                0.86227,             3.5414e-05,             3.5414e-05,             3.5414e-05
